brand,model,price,type,height,weight,firmness,trial,I_trial,I_firmness,I_weight,I_height
BedInABox,Serenity,1899.0,Foam,13.0,101.0,3.5,120.0,0,0,0,0
BedInABox,Tranquility,1299.0,Foam,11.0,90.0,7.5,120.0,0,0,0,0
Birch,Birch Mattress,1499.0,Hybrid,11.0,,6.5,100.0,0,0,1,0
Bob-O-Pedic,9 Gel,399.0,Foam,9.0,,,90.0,0,1,1,0
Bob-O-Pedic,9 Hybrid,399.0,Hybrid,9.0,,,90.0,0,1,1,0
Bob-O-Pedic,Cirrus Gel,599.0,Foam,10.0,,,90.0,0,1,1,0
Bob-O-Pedic,Gel,799.0,Foam,12.0,,,90.0,0,1,1,0
Bob-O-Pedic,Hybrid,799.0,Hybrid,11.0,,5.0,90.0,0,0,1,0
Bob-O-Pedic,MyBobGel,1099.0,Foam,14.0,,,90.0,0,1,1,0
Bob-O-Pedic,Bob-O-Pedic Sky,699.0,Foam,11.5,,,90.0,0,1,1,0
Boll & Branch,The Mattress,2500.0,Hybrid,13.5,110.0,6.0,100.0,0,0,0,0
Brentwood Home,Avalon,795.0,Innerspring,10.0,54.0,3.0,120.0,0,0,0,0
Brentwood Home,Coronado,995.0,Foam,14.0,96.0,4.0,120.0,0,0,0,0
Brentwood Home,Del Mar,995.0,Innerspring,12.0,106.0,4.5,120.0,0,0,0,0
Brentwood Home,Palmetto,1149.0,Latex,13.0,106.0,7.0,120.0,0,0,0,0
Brentwood Home,Solano,949.0,Latex,10.0,99.0,8.0,120.0,0,0,0,0
Brentwood Home,Cedar,2899.0,Hybrid,15.0,135.0,5.0,120.0,0,0,0,0
Brentwood Home,Mirador,1649.0,Latex,15.0,113.0,3.0,120.0,0,0,0,0
Brentwood Home,Oceano,1495.0,Hybrid,14.5,135.0,6.0,120.0,0,0,0,0
Brentwood Home,Ojai,1195.0,Hybrid,12.0,89.0,6.0,120.0,0,0,0,0
Brentwood Home,Sequoia,1495.0,Latex,14.0,103.0,6.0,120.0,0,0,0,0
Brentwood Home,Sierra,795.0,Foam,10.0,89.0,5.0,120.0,0,0,0,0
Casper,The Casper Element,595.0,Foam,11.0,,6.0,100.0,0,0,1,0
Casper,The Casper Nova,1795.0,Foam,12.0,,4.0,100.0,0,0,1,0
Casper,The Casper Nova Hybrid,1995.0,Hybrid,12.0,89.0,4.0,100.0,0,0,0,0
Casper,The Casper Snug,495.0,Foam,8.5,73.0,7.0,100.0,0,0,0,0
Comfortaire,Genesis,1299.0,Smart/Other,11.5,,,100.0,0,1,1,0
Corsicana,Foam,356.0,Foam,8.5,85.0,,,1,1,0,0
Corsicana,Coil,363.0,Innerspring,12.25,,,,1,1,1,0
Craft,Craft Mattress,1400.0,Foam,13.5,130.0,,100.0,0,1,0,0
Crave,"Luxury Firm Firm Foam, Medium Firm Foam",595.0,Foam,11.0,,,100.0,0,1,1,0
Crave,"Ultra Plush Hybrid Innerspring, Luxury Firm Hybrid Innerspring",950.0,Hybrid,9.5,,,100.0,0,1,1,0
Diamond Mattress,Intention Hybrid,1399.0,Hybrid,14.0,80.0,5.0,120.0,0,0,0,0
Doze,,750.0,Foam,10.0,80.0,7.0,75.0,0,0,0,0
Dreamfoam Bedding,Arctic Dreams,229.0,Foam,10.0,,,90.0,0,1,1,0
Dreamfoam Bedding,Latex,599.0,Latex,12.0,,,90.0,0,1,1,0
Dreamfoam Bedding,Memory Foam,499.0,Foam,11.5,,,90.0,0,1,1,0
Duxiana,1001,3445.0,Hybrid,12.75,,,30.0,0,1,1,0
Duxiana,3003,4445.0,Hybrid,16.0,,,30.0,0,1,1,0
Duxiana,6006,6020.0,Hybrid,20.0,,,30.0,0,1,1,0
Duxiana,8008,7590.0,Hybrid,20.0,,,30.0,0,1,1,0
Ecosleep,EcoSleep Hybrid,1249.0,Hybrid,11.5,110.0,6.5,120.0,0,0,0,0
Eight,Saturn,599.0,Foam,10.0,,6.5,100.0,0,0,1,0
Eight,Smart Bed,995.0,Foam,10.0,80.0,6.5,100.0,0,0,0,0
Eight,Venus+,1449.0,Hybrid,11.0,,4.5,100.0,0,0,1,0
eLuxury,"10"" Gel Memory Foam",544.0,Foam,10.0,75.0,6.5,120.0,0,0,0,0
eLuxury,"12"" Latex and Memory Foam Hybrid",1000.0,Foam,12.0,96.0,5.5,120.0,0,0,0,0
Emma,Emma Mattress,899.0,Foam,12.0,58.0,6.0,100.0,0,0,0,0
Endy,Endy Mattress,850.0,Foam,10.0,70.0,6.0,100.0,0,0,0,0
